movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Ffion,R. Kelly,9,9,8,26
God's Of Egypt,Oisin,Jaime Lannister,5,5,7,17
Mortal Kombat 2,Fiachra,Lu kang,8,7,5,20
Morbius,Ffion,Jared Leto,4,8,6,18
Endless Love,Oisin,Ashton Kutcher,7,6,4,17
Run Hide Fight,Fiachra,School shooter,6,4,9,19
Moonfall,Ffion,Sam,2,3,3,8
Swiped,Oisin,James,1,1,1,3
Karen,Fiachra,Husband,3,2,2,7
