movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Oisin,Dad,9,8,9,26
Daredevil ,Ffion,bullseye,6,5,6,17
Remember Me,Fiachra,Pearse Brosnan,1,9,8,18
Sky High,Oisin,Coach,2,1,5,8
The Room,Ffion,Denny ,8,7,4,19
Mortal Kombat,Fiachra,Raiden,7,3,7,17
Deep Blue Sea,Oisin,Sam Jackson,4,6,2,12
Trapped In The Closet,Ffion,Twan,5,2,3,10
Twisted Pair,Fiachra,Neil breen,3,4,1,8
