movie,nominator,candidate,ffion,fiachra,oisin,total
Mortal Kombat 2,Oisin,nan,5,4,5,14
Cats,Fiachra,nan,6,6,6,18
God's Of Egypt,Ffion,nan,4,5,4,13
Trapped In The Closet,Oisin,nan,1,3,3,7
Morbius,Fiachra,nan,2,2,2,6
Moonfall,Ffion,nan,3,1,1,5
