movie,nominator,candidate,ffion,fiachra,oisin,total
Twilight,Ffion,Black eyed peas,4,5,9,18
Trapped In The Closet,Fiachra,R kelly COP WIFE AND TIWAN IN HALLWAY,9,6,5,20
Catwoman ,Oisin,catwoman and detective,2,3,3,8
Mom And Dad,Ffion,parents + grandparents,5,2,2,9
The Happening,Fiachra,Granny zoe mark walberf,6,7,1,14
Daredevil ,Oisin,Daredevil and Elektra,3,4,4,11
Charlies Angels,Ffion,angels #slay,8,1,8,17
Remember Me,Fiachra,Pearse brosnan Robert patterson,1,9,7,17
Endless Love,Oisin,David Vs Dad,7,8,6,21
