movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,R Kelly,6,8,7,21
The Room,Oisin,Tommy Wiseau,9,9,9,27
The Happening,Ffion,Mark Wallberg,7,7,4,18
Remember Me,Fiachra,Robert patterson,1,5,8,14
Daredevil ,Oisin,Daredevil,2,4,6,12
Twilight New Moon,Ffion,Bella,8,2,2,12
Twisted Pair,Fiachra,Neil breen,4,6,1,11
Wanted,Oisin,James Mcevoy,3,3,5,11
Dora The Movie,Ffion,Dora,5,1,3,9
