movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Ffion,Bridget,7,9,9,25
The Room,Fiachra,Grandma,9,7,8,24
Cats,Oisin,Taylor Hudson,4,5,6,15
Abduction,Ffion,balloon woman,6,1,5,12
The Happening,Fiachra,Grandma,8,8,7,23
Catwoman ,Oisin,Lipstick Villain,5,2,4,11
Ax'm ,Ffion,falling over woman,3,4,1,8
Remember Me,Fiachra,Child,1,3,3,7
Twisted Pair,Oisin,Abusive GF,2,6,2,10
