movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,I cant beileve its a man,9,9,6,24
Morbius,Ffion,Milo dance scene,8,6,7,21
Endless Love,Oisin,House Fire,4,5,8,17
Karen,Fiachra,Im black,3,7,2,12
Taken 3,Ffion,Fence scene,7,2,4,13
Moonfall,Oisin,Jump To Helicopter,5,1,3,9
Mortal Kombat 2,Fiachra,Lu kang challenged by lust,1,8,1,10
God's Of Egypt,Ffion,Ending scene,6,3,9,18
Swiped,Oisin,Bimbo Flying,2,4,5,11
