movie,nominator,candidate,ffion,fiachra,oisin,total
Run Hide Fight,Fiachra,gun control bad,6,9,9,24
Justice League,Oisin,The power of teamwork,2,2,6,10
Trapped In The Closet,Ffion,safe sex,9,5,1,15
Remember Me,Fiachra,never forget the fallen,1,6,7,14
The Room,Oisin,mens mental health,4,7,2,13
Charlies Angels,Ffion,feminism,7,1,8,16
Karen,Fiachra,racism is bad,5,3,4,12
Fast And Furious 8,Oisin,family,3,4,5,12
The Happening,Ffion,climate change & global warming,8,8,3,19
