movie,nominator,candidate,ffion,fiachra,oisin,total
Bruce Almighty ,Fiachra,nan,9,9,9,27
Buckaroo Bonsai,Oisin,nan,8,1,6,15
Remember Me,Ffion,nan,5,2,1,8
Mr Poppers Penguins,Fiachra,nan,7,8,4,19
Geostorm ,Oisin,nan,3,7,8,18
Halloween H20,Ffion,nan,4,3,3,10
Charlies Angels,Fiachra,nan,1,4,2,7
Oceans 8,Oisin,nan,2,6,7,15
Swarmed,Ffion,nan,6,5,5,16
