movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,nan,9,9,9,27
Mortal Kombat 2,Ffion,nan,8,8,8,24
Morbius,Oisin,nan,7,7,7,21
Run Hide Fight,Fiachra,nan,6,6,2,14
Cats,Ffion,Jason Derulo song,5,3,6,14
God's Of Egypt,Oisin,nan,3,1,3,7
Taken 3,Fiachra,nan,1,4,1,6
Endless Love,Ffion,basic romance music,2,5,4,11
Moonfall,Oisin,Rains Down In Africa,4,2,5,11
