movie,nominator,candidate,ffion,fiachra,oisin,total
Run Hide Fight,Oisin,Gun Control,8,9,9,26
Trapped In The Closet,Fiachra,Safe Sex,9,6,6,21
Karen,Ffion,racism,7,8,8,23
God's Of Egypt,Oisin,Classism,5,1,7,13
Endless Love,Fiachra,Love triumphs,4,7,5,16
Taken 3,Ffion,Vigilantism,1,2,1,4
Morbius,Oisin,Addiction,6,5,3,14
Moonfall,Fiachra,Conspiracyies,3,4,2,9
Swiped,Ffion,Dating throughout the generations,2,3,4,9
