movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,R kelly,9,9,8,26
Run Hide Fight,Ffion,Main girl (hero),8,7,9,24
Mortal Kombat 2,Oisin,Lou Kang,6,8,6,20
Morbius,Fiachra,Jared leto,5,3,4,12
Endless Love,Ffion,David,7,6,5,18
God's Of Egypt,Oisin,Jaime Lannister,4,4,7,15
Karen,Fiachra,Wife,2,5,2,9
Cats,Ffion,Victoria,1,2,1,4
Taken 3,Oisin,Liam Neeson,3,1,3,7
