movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Oisin,Bridget,6,6,6,18
Karen,Fiachra,wife,2,4,1,7
Cats,Ffion,Taylor Swift (anti-hero),5,1,2,8
Endless Love,Oisin,Jades Ma,1,3,3,7
Mortal Kombat 2,Fiachra,Katanna (mom) (evil,3,5,4,12
Swiped,Ffion,lil sis,4,2,5,11
