movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,nan,8,9,9,26
Mortal Kombat,Oisin,nan,9,8,8,25
Morbius,Ffion,"Have s&x, my answer's yes",7,4,6,17
Daredevil ,Fiachra,nan,4,6,5,15
The Great Gatsby ,Oisin,nan,2,5,4,11
Charlies Angels,Ffion,don't call me angel!!!,6,1,7,14
Mortal Kombat 2,Fiachra,nan,1,7,2,10
Justice League,Oisin,nan,3,2,3,8
Run Hide Fight,Ffion,'merica,5,3,1,9
