movie,nominator,candidate,ffion,fiachra,oisin,total
The Great Gatsby ,Fiachra,nan,9,9,5,23
Mortal Kombat,Oisin,nan,5,7,9,21
God's Of Egypt,Ffion,nan,7,2,8,17
Mortal Kombat 2,Fiachra,nan,2,8,6,16
Daredevil ,Oisin,nan,3,6,2,11
Sky High,Ffion,nan,4,3,7,14
Buckaroo Bonsai,Fiachra,nan,8,5,1,14
Justice League,Oisin,nan,6,4,4,14
Cats,Ffion,nan,1,1,3,5
