movie,nominator,candidate,ffion,fiachra,oisin,total
The Room,Oisin,Tommy Wiseau,9,9,9,27
The Happening,Ffion,Mark Wallberg,8,7,3,18
Trapped In The Closet,Fiachra,R Kelly,5,8,7,20
Remember Me,Oisin,Robert Pattinson,2,6,8,16
Mom And Dad,Ffion,Nicholas cage,6,1,4,11
Twisted Pair,Fiachra,Neil breen,7,5,2,14
Abduction,Oisin,Taylor Laughtner,3,3,6,12
Twilight,Ffion,Robert Pattinson,4,2,5,11
Mortal Kombat,Fiachra,Lu kang,1,4,1,6
