movie,nominator,candidate,ffion,fiachra,oisin,total
Cats,Ffion,nan,9,9,9,27
God's Of Egypt,Fiachra,nan,6,7,8,21
Justice League,Oisin,nan,5,4,7,16
Twisted Pair,Ffion,nan,7,8,3,18
Mortal Kombat 2,Fiachra,nan,8,5,6,19
The Happening,Oisin,nan,1,1,1,3
The Room,Ffion,nan,4,3,2,9
Daredevil ,Fiachra,nan,2,6,4,12
Twilight Breaking Dawn Part2,Oisin,nan,3,2,5,10
