movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Ffion,Dad,9,9,9,27
God's Of Egypt,Oisin,Gerard Butler,3,1,8,12
Trapped In The Closet,Fiachra,tiwan,7,7,1,15
Morbius,Ffion,Milo Morbius,8,6,6,20
Swiped,Oisin,Noah Centino,2,4,5,11
Mortal Kombat 2,Fiachra,Rsidem,6,8,7,21
Moonfall,Ffion,Lexus Dad,1,2,2,5
Cats,Oisin,Jason Derulo,5,3,3,11
Run Hide Fight,Fiachra,DAD GUN,4,5,4,13
