movie,nominator,candidate,ffion,fiachra,oisin,total
Deep Blue Sea,Oisin,Sam Jackson fire speech,9,8,9,26
The Happening,Ffion,Oblivion granny,8,7,3,18
Remember Me,Fiachra,Piers Brosnan confrontation with son,1,9,8,18
Price And Prejudice And Zombies ,Oisin,Willem monologue,3,1,7,11
Daredevil ,Ffion,wake me up inside,4,5,2,11
Mom And Dad,Fiachra,Nicholas cage - tickle scene,5,4,4,13
Swallows and Amazons,Oisin,You're a duffer i hope you drown,7,2,5,14
Step Up,Ffion,kid gets shot,2,3,6,11
Twisted Pair,Fiachra,"You're special, you're very special",6,6,1,13
