movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Ffion,Dad,9,9,9,27
Karen,Oisin,Karen,7,2,7,16
Run Hide Fight,Fiachra,School shooter,4,1,5,10
Morbius,Ffion,Milo Morbius,6,3,3,12
Swiped,Oisin,Noah Centino,2,4,4,10
Cats,Fiachra,Idris elba,1,5,2,8
Trapped In The Closet,Ffion,AIDS,8,7,1,16
Moonfall,Oisin,The Moon,5,8,6,19
God's Of Egypt,Fiachra,Bittler,3,6,8,17
