movie,nominator,candidate,ffion,fiachra,oisin,total
Remember Me,Oisin,nan,9,9,8,26
Buckaroo Bonsai,Ffion,nan,7,7,7,21
Mortal Kombat,Fiachra,nan,8,6,9,23
God's Of Egypt,Oisin,nan,4,3,6,13
Twilight Breaking Dawn Part1,Ffion,nan,5,2,3,10
Daredevil ,Fiachra,nan,1,4,1,6
The Room,Oisin,nan,3,8,5,16
Charlies Angels,Ffion,nan,6,1,4,11
Twisted Pair,Fiachra,nan,2,5,2,9
