movie,nominator,candidate,ffion,fiachra,oisin,total
Taken 3,Ffion,nan,9,9,9,27
Catwoman ,Fiachra,nan,7,7,4,18
Mom And Dad,Oisin,nan,6,5,8,19
The Happening,Ffion,nan,5,8,5,18
The Great Gatsby ,Fiachra,nan,4,6,7,17
Wanted,Oisin,nan,2,1,1,4
The Room,Ffion,(wine glass scene),8,2,6,16
Trapped In The Closet,Fiachra,nan,1,4,2,7
Ax'm ,Oisin,nan,3,3,3,9
