movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,I cant beileve its a man,9,8,8,25
The Happening,Oisin,Looney Toons Gun,6,5,7,18
Twilight New Moon,Ffion,Seasons changing,8,1,3,12
Mortal Kombat,Fiachra,Flawless Victory,1,7,5,13
Deep Blue Sea,Oisin,Sam Jackson Speech,2,6,9,17
Catwoman ,Ffion,basketball scene,4,4,1,9
Remember Me,Fiachra,Twin towers,7,9,6,22
Step Up,Oisin,Kid Gets Shot,3,3,4,10
Ax'm ,Ffion,i ain't risking my black ass,5,2,2,9
