movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Ffion,nan,9,9,9,27
Mortal Kombat 2,Fiachra,nan,3,7,8,18
The Happening,Oisin,nan,8,5,6,19
Karen,Ffion,nan,6,2,2,10
Ax'm ,Fiachra,nan,7,4,1,12
Mortal Kombat,Oisin,nan,4,8,7,19
Cats,Ffion,nan,5,1,4,10
Deep Blue Sea,Fiachra,nan,2,6,5,13
Remember Me,Oisin,nan,1,3,3,7
