movie,nominator,candidate,ffion,fiachra,oisin,total
Karen,Oisin,Karen,6,6,6,18
Run Hide Fight,Fiachra,Main girl,5,5,5,15
Endless Love,Ffion,Jade,4,4,4,12
Mortal Kombat 2,Oisin,Lukes GF,2,1,2,5
Trapped In The Closet,Fiachra,R kelly wife,3,3,3,9
Cats,Ffion,Victoria,1,2,1,4
