Team,Played,Wins,Draws,Loses,GF,GA,GD,Points
Paris Saint Germain,10,7,3,0,15,3,12,24
Monaco,10,5,5,0,11,4,7,20
Lyon,10,4,3,3,4,3,1,15
Marseille,10,1,6,3,8,11,-3,9
Lille,10,1,5,4,4,7,-3,8
Saint-Etienne,10,0,2,8,3,17,-14,2
