movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Oisin,Dad,,,,
Daredevil ,Ffion,bullseye,,,,
Remember Me,Fiachra,Pearse Brosnan,,,,
Sky High,Oisin,Coach,,,,
The Room,Ffion,Denny ,,,,
Mortal Kombat,Fiachra,Raiden,,,,
Deep Blue Sea,Oisin,Sam Jackson,,,,
Trapped In The Closet,Ffion,Twan,,,,
Twisted Pair,Fiachra,Neil breen,,,,
