movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,I cant beileve its a man,,,,
The Happening,Oisin,Looney Toons Gun,,,,
Twilight New Moon,Ffion,Seasons changing,,,,
Mortal Kombat,Fiachra,Flawless Victory,,,,
Deep Blue Sea,Oisin,Sam Jackson Speech,,,,
Catwoman ,Ffion,basketball scene,,,,
Remember Me,Fiachra,Twin towers,,,,
Step Up,Oisin,Kid Gets Shot,,,,
Ax'm ,Ffion,i ain't risking my black ass,,,,
