movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,R kelly,,,,
Run Hide Fight,Ffion,Main girl (hero),,,,
Mortal Kombat 2,Oisin,Lou Kang,,,,
Morbius,Fiachra,Jared leto,,,,
Endless Love,Ffion,David,,,,
God's Of Egypt,Oisin,Jaime Lannister,,,,
Karen,Fiachra,Wife,,,,
Cats,Ffion,Victoria,,,,
Taken 3,Oisin,Liam Neeson,,,,
