movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Ffion,Dad,,,,
God's Of Egypt,Oisin,Gerard Butler,,,,
Trapped In The Closet,Fiachra,tiwan,,,,
Morbius,Ffion,Milo Morbius,,,,
Swiped,Oisin,Noah Centino,,,,
Mortal Kombat 2,Fiachra,Rsidem,,,,
Moonfall,Ffion,Lexus Dad,,,,
Cats,Oisin,Jason Derulo,,,,
Run Hide Fight,Fiachra,DAD GUN,,,,
