awards,code,progress
Best Picture,picture22,None
Best Actor,actor22,None
Best Actress,actress22,None
Best Score,score22,None
Best Supp Actor,suppactor22,None
Best Supp Actress,suppactress22,None
Best Protaganist,protag22,None
Best Antaganist,antag22,None
Best Effects,effects22,None
Best Scene,scene22,None
Best Screenplay,screenplay22,None
Best Message,message22,None
