movie,nominator,candidate,ffion,fiachra,oisin,total
Remember Me,Oisin,nan,,,,
Buckaroo Bonsai,Ffion,nan,,,,
Mortal Kombat,Fiachra,nan,,,,
God's Of Egypt,Oisin,nan,,,,
Twilight Breaking Dawn Part1,Ffion,nan,,,,
Daredevil ,Fiachra,nan,,,,
The Room,Oisin,nan,,,,
Charlies Angels,Ffion,nan,,,,
Twisted Pair,Fiachra,nan,,,,
