movie,nominator,candidate,ffion,fiachra,oisin,total
The Happening,Oisin,nan,,,,
Twilight New Moon,Ffion,nan,,,,
The Great Gatsby ,Fiachra,nan,,,,
Remember Me,Oisin,nan,,,,
Catwoman ,Ffion,nan,,,,
Run Hide Fight,Fiachra,nan,,,,
Daredevil ,Oisin,nan,,,,
The Room,Ffion,nan,,,,
Mortal Kombat,Fiachra,,,,,
