movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,nan,,,,
Endless Love,Oisin,nan,,,,
Mortal Kombat,Ffion,nan,,,,
The Happening,Fiachra,nan,,,,
Daredevil ,Oisin,nan,,,,
Dora The Movie,Ffion,nan,,,,
Mortal Kombat 2,Fiachra,nan,,,,
Twilight Eclipse,Oisin,nan,,,,
Abduction,Ffion,,,,,
