movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Ffion,R. Kelly,,,,
God's Of Egypt,Oisin,Jaime Lannister,,,,
Mortal Kombat 2,Fiachra,Lu kang,,,,
Morbius,Ffion,Jared Leto,,,,
Endless Love,Oisin,Ashton Kutcher,,,,
Run Hide Fight,Ffion,School shooter,,,,
Moonfall,Fiachra,Sam,,,,
Swiped,Oisin,James,,,,
Karen,Fiachra,Husband,,,,
