movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Oisin,Bridget,,,,
Karen,Fiachra,wife,,,,
Cats,Ffion,Taylor Swift (anti-hero),,,,
Endless Love,Oisin,Jades Ma,,,,
Mortal Kombat 2,Fiachra,Katanna (mom) (evil,,,,
Swiped,Ffion,lil sis,,,,
