movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,I cant beileve its a man,,,,
Morbius,Ffion,Milo dance scene,,,,
Endless Love,Oisin,House Fire,,,,
Karen,Fiachra,Im black,,,,
Taken 3,Ffion,Fence scene,,,,
Moonfall,Oisin,Jump To Helicopter,,,,
Mortal Kombat 2,Fiachra,Lu kang challenged by lust,,,,
God's Of Egypt,Ffion,Ending scene,,,,
Swiped,Oisin,Bimbo Flying,,,,
