movie,nominator,candidate,ffion,fiachra,oisin,total
The Room,Oisin,Tommy Wiseau,,,,
The Happening,Ffion,Mark Wallberg,,,,
Trapped In The Closet,Fiachra,R Kelly,,,,
Remember Me,Oisin,Robert Pattinson,,,,
Mom And Dad,Ffion,Nicholas cage,,,,
Twisted Pair,Fiachra,Neil breen,,,,
Abduction,Oisin,Taylor Laughtner,,,,
Twilight,Ffion,Robert Pattinson,,,,
Mortal Kombat,Fiachra,Lu kang,,,,
