movie,nominator,candidate,ffion,fiachra,oisin,total
Deep Blue Sea,Oisin,Sam Jackson fire speech,,,,
The Happening,Ffion,Oblivion granny,,,,
Remember Me,Fiachra,Piers Brosnan confrontation with son,,,,
Price And Prejudice And Zombies ,Oisin,Willem monologue,,,,
Daredevil ,Ffion,wake me up inside,,,,
Mom And Dad,Fiachra,Nicholas cage - tickle scene,,,,
Swallows and Amazons,Oisin,You're a duffer i hope you drown,,,,
Step Up,Ffion,kid gets shot,,,,
Twisted Pair,Fiachra,"You're special, you're very special",,,,
