movie,nominator,candidate,ffion,fiachra,oisin,total
Karen,Oisin,Karen,,,,
Run Hide Fight,Fiachra,Main girl,,,,
Endless Love,Ffion,Jade,,,,
Mortal Kombat 2,Oisin,Lukes GF,,,,
Trapped In The Closet,Fiachra,R kelly wife,,,,
Cats,Ffion,Victoria,,,,
