movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Ffion,Dad,,,,
Karen,Oisin,Karen,,,,
Run Hide Fight,Fiachra,School shooter,,,,
Morbius,Ffion,Milo Morbius,,,,
Swiped,Oisin,Noah Centino,,,,
Cats,Fiachra,Idris elba,,,,
Trapped In The Closet,Ffion,AIDS,,,,
Moonfall,Oisin,The Moon,,,,
God's Of Egypt,Fiachra,Bittler,,,,
