movie,nominator,candidate,ffion,fiachra,oisin,total
Taken 3,Ffion,nan,,,,
Catwoman ,Fiachra,nan,,,,
Mom And Dad,Oisin,nan,,,,
The Happening,Ffion,nan,,,,
The Great Gatsby ,Fiachra,nan,,,,
Wanted,Oisin,nan,,,,
The Room,Ffion,(wine glass scene),,,,
Trapped In The Closet,Fiachra,nan,,,,
Ax'm ,Oisin,,,,,
