movie,nominator,candidate,ffion,fiachra,oisin,total
Bruce Almighty ,Fiachra,nan,,,,
Buckaroo Bonsai,Oisin,nan,,,,
Remember Me,Ffion,nan,,,,
Mr Poppers Penguins,Fiachra,nan,,,,
Geostorm ,Oisin,nan,,,,
Halloween H20,Ffion,nan,,,,
Charlies Angels,Fiachra,nan,,,,
Oceans 8,Oisin,nan,,,,
Swarmed,Ffion,,,,,
