movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Ffion,Bridget,,,,
The Room,Fiachra,Grandma,,,,
Cats,Oisin,Taylor Hudson,,,,
Abduction,Ffion,balloon woman,,,,
The Happening,Fiachra,Grandma,,,,
Catwoman ,Oisin,Lipstick Villain,,,,
Ax'm ,Ffion,falling over woman,,,,
Remember Me,Fiachra,Child,,,,
Twisted Pair,Oisin,Abusive GF,,,,
