movie,nominator,candidate,ffion,fiachra,oisin,total
Trapped In The Closet,Fiachra,nan,,,,
Mortal Kombat,Oisin,nan,,,,
Morbius,Ffion,"Have s&x, my answer's yes",,,,
Daredevil ,Fiachra,nan,,,,
The Great Gatsby ,Oisin,nan,,,,
Charlies Angels,Ffion,don't call me angel!!!,,,,
Mortal Kombat 2,Fiachra,nan,,,,
Justice League,Oisin,nan,,,,
Run Hide Fight,Ffion,'merica,,,,
