movie,nominator,candidate,ffion,fiachra,oisin,total
Run Hide Fight,Fiachra,gun control bad,,,,
Justice League,Oisin,The power of teamwork,,,,
Trapped In The Closet,Ffion,safe sex,,,,
Remember Me,Fiachra,never forget the fallen,,,,
The Room,Oisin,mens mental health,,,,
Charlies Angels,Ffion,feminism,,,,
Karen,Fiachra,racism is bad,,,,
Fast And Furious 8,Oisin,family,,,,
The Happening,Ffion,climate change & global warming,,,,
