movie,nominator,candidate,ffion,fiachra,oisin,total
Karen,Ffion,KAren,,,,
The Room,Fiachra,lisa,,,,
Dora The Movie,Oisin,Dora,,,,
Twilight New Moon,Ffion,Bella,,,,
The Happening,Fiachra,Zoe,,,,
Catwoman ,Oisin,Halle Berry,,,,
Run Hide Fight,Ffion,Main girl (hero),,,,
Trapped In The Closet,Fiachra,Wife,,,,
Daredevil ,Oisin,Elektra,,,,
