movie,nominator,candidate,ffion,fiachra,oisin,total
Endless Love,Oisin,Dad,,,,
Trapped In The Closet,Ffion,AIDS,,,,
Twisted Pair,Fiachra,Neil breen,,,,
The Room,Oisin,Society,,,,
The Happening,Ffion,Mother nature,,,,
Daredevil ,Fiachra,bullseye,,,,
Moonfall,Oisin,The Moon,,,,
Karen,Ffion,Karen,,,,
Run Hide Fight,Fiachra,School shooter,,,,
